xc,yc,w,h,theta,depth,width_mid_x,width_mid_y,height_mid_x,height_mid_y,x1_x,x1_y,x2_x,x2_y,x3_x,x3_y,x4_x,x4_y
37,144,119,204,98.44752724790847,0.0,52,245,-22,153,-37,52,-7,254,82,35,111,237
283,376,124,202,70.84438755456033,0.4230000078678131,250,471,224,355,257,260,191,451,375,301,309,492
36,145,118,205,97.8917024282357,4.526000022888184,50,246,-22,153,-37,52,-8,255,80,35,109,238
37,144,118,204,98.44752724790847,0.0,52,245,-21,153,-37,53,-6,254,80,34,111,236
271,391,131,218,57.3277707113169,0.39500001072883606,212,483,215,356,274,264,157,448,385,335,268,519
36,144,119,204,99.55428967240177,4.493000030517578,53,245,-22,154,-38,53,-6,255,79,33,112,235
36,146,120,204,98.44752724790847,4.396000385284424,51,247,-23,155,-38,54,-8,256,81,36,111,238
36,144,116,203,99.0017551225613,0.0,52,245,-21,154,-37,54,-5,254,79,35,110,236
36,144,116,203,98.44752724790847,4.335000038146973,51,245,-21,153,-36,52,-6,254,79,35,109,236
36,145,116,203,98.44752724790847,0.0,51,246,-21,154,-37,53,-6,255,78,36,109,237
36,145,115,202,98.53076560994812,0.0,51,245,-20,153,-34,53,-6,254,79,37,108,237
36,145,114,202,99.09027692082232,4.809000015258789,52,245,-20,154,-36,54,-4,254,78,36,109,236
36,144,115,202,99.64804531609816,4.187000274658203,53,244,-20,154,-37,54,-4,254,77,35,110,235
37,144,114,201,99.64804531609816,0.0,54,244,-19,154,-37,55,-2,254,77,35,111,234
37,143,115,203,99.0017551225613,0.0,53,244,-19,152,-35,52,-4,253,79,34,110,235
271,386,139,206,62.938893862526754,0.4020000100135803,224,478,208,355,255,263,162,447,380,326,287,510
39,143,111,207,101.09372301155784,0.0,59,245,-15,154,-35,53,5,256,73,31,114,234
39,144,111,208,101.09372301155784,0.0,59,246,-15,155,-35,53,5,257,72,31,114,235
37,144,113,202,98.53076560994812,0.0,52,244,-19,153,-34,53,-4,253,78,36,108,236
38,143,112,202,97.96961039432136,0.0,52,243,-17,152,-32,52,-3,252,79,35,108,235
37,144,112,202,97.8917024282357,0.0,51,245,-18,152,-32,52,-4,253,79,36,107,237
38,145,112,201,96.77565616939901,0.0,50,246,-18,152,-30,52,-6,253,82,39,106,239
38,145,112,201,97.40691212849522,0.0,51,245,-17,152,-30,52,-4,253,81,38,107,238
38,145,112,200,97.48088617952367,4.396000385284424,51,244,-17,152,-31,53,-4,252,80,38,107,237
42,148,118,192,97.1250163489018,5.172000408172607,54,244,-16,156,-29,60,-4,252,88,45,113,236
283,366,120,199,68.83874018317172,0.4360000193119049,247,459,226,345,262,252,191,438,375,295,304,481
38,146,110,197,97.55634405643946,0.0,51,244,-16,153,-29,55,-4,251,81,41,106,237
39,147,108,198,96.98105740682979,0.0,51,245,-15,153,-27,55,-3,252,82,42,105,239
